date,url,title
05/31/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=362dc7d43e,Pycoder's Weekly (Issue #68): Submit
05/24/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=252c50d8f1,Pycoder's Weekly (Issue #67): Redux
05/17/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8e4eed4499,Pycoder's Weekly (Issue #66): Release Therapy
05/10/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=9505afb517,Pycoder's Weekly (Issue #65): Enums
05/03/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=613579e866,Pycoder's Weekly (Issue #64): Over 9000!
04/26/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=11cf9d0bf2,Pycoder's Weekly (Issue #63): Two Scoops of Django
04/19/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=a7c272b832,Pycoder's Weekly (Issue #62): WORK
04/12/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=bc953f26f9,Pycoder's Weekly (Issue #61): Tulip
04/05/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=df81c3e688,Pycoder's Weekly (Issue #60): tabnanny
03/29/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=98be01592b,Pycoder's Weekly (Issue #58): Gittip
03/22/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8d2a169bdd,Pycoder's Weekly (Issue #58): @jessenoller
03/15/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=de066a99bd,Pycoder's Weekly (Issue #57): PyCon 2013
03/08/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=4144481e71,Pycoder's Weekly (Issue #56): Women's Day
03/01/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=ea7e7d7c9e,Pycoder's Weekly (Issue #55): Timeit
02/22/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=c812fb6f4d,Pycoder's Weekly (Issue #54): Meteor
02/15/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f56eaad0bc,Pycoder's Weekly (Issue #53): Insecurity
02/08/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=e8a5ab52e6,Pycoder's Weekly (Issue #52): Year 2
02/01/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=fa431366f5,Pycoder's Weekly (Issue #51): Security
01/25/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=2ea4720b1a,Pycoder's Weekly (Issue #50): Iterators
01/18/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=96431a658f,Pycoder's Weekly (Issue #49): Braces
01/11/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=6ed9a19aa9,Pycoder's Weekly (Issue #48): Pycoder's Jobs
01/04/2013 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=26e6de90d1,Pycoder's Weekly (Issue #47): Jobs
12/28/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=7d0dd8f1a8,Pycoder's Weekly (Issue #46): New Year
12/21/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=63da9f9e88,Pycoder's Weekly (Issue #45): Happy Holidays
12/14/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=cb0cad40b5,Pycoder's Weekly (Issue #44): Python for Kids
12/07/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f5000172aa,Pycoder's Weekly (Issue #43): Set
11/30/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b447685c60,Pycoder's Weekly (Issue #42): Redesign
11/23/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=910aeef6b6,Pycoder's Weekly (Issue #41): Datetime
11/16/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f2a6b43520,Pycoder's Weekly (Issue #40): Over the hill
11/09/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=7d5a218b0d,Pycoder's Weekly (Issue #39): Generators
11/02/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=40c96ec37e,Pycoder's Weekly (Issue #38): What's up Docs?
10/26/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=5df1c52850,Pycoder's Weekly (Issue #37): Pythonidae
10/19/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=a24e3f0b9b,Pycoder's Weekly (Issue #36): Asynchronous
10/12/2012 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=86c8c5761f,Pycoder's Weekly (Issue #35): Bottle
